,title,price,rating,replyCount,category,item0,item1,item2,item3
17,[토이트론] 케이스키즈 영유아 딸랑이/유모차장난감 모음,0.016749926535409933,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
18,[쁘띠베베] 그린 부엉이 자동차 후방 안전거울,0.017337643255950632,0.8,0.0,0.0,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,[AKMALL2] 바니랜드-체스 아카데미
19,피플투모로우 NEW 신문지 (소) - 아기신문 아기신문지,0.015868351454598886,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
20,콤비 신생아 아기장난감/완구/치발기/오뚝이/딸랑이,0.012929767851895388,1.0,0.0007835762419683435,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기
21,[콤비] 콤비 바스락 타월 - 유아장난감 아기장난감 / 청각자극 촉각놀이 호기심 트레이닝,0.013972965030855128,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아
22,[치코] 치코 베이비보이 베이비걸 치발딸랑이 치발기 딸랑이,0.006758742286218043,0.8,0.0,0.0,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트
23,베이비바나나 바나나치발기 겸 유아칫솔 국민치발기,0.010138113429327064,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아
24,헬로베이비 곰 파스텔 딸랑이 선물셋트,0.02027622685865413,0.9,0.001097006738755681,0.0,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,조이매스 3D미노스큐브,[AKMALL2] 바니랜드-체스 아카데미
25,[톨로] 톨로 회전오뚜기 뽀빠이 삐에로,0.02862180429033206,0.9,0.0012537219871493496,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,조이매스 3D미노스큐브,[AKMALL2] 바니랜드-체스 아카데미
26,알로앙베이비/딸랑이/치발기/치아발육기/딸랑이세트,0.014399059653247136,0.8,0.001567152483936687,0.0,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트
